Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Carbon TerraVault1: InEnTec (CA),903,United States,"California Resource Corporation (Carbon TerraVault), InEnTEc",Capture,2023,2024,,,Planned,,0.1,0.1,Chemicals,Dedicated storage,Carbon TerraVault 1,North America
Carbon TerraVault1: Verde (CA),902,United States,"California Resource Corporation (Carbon TerraVault), Verde Clean Fuels ",Capture,2023,2025,,,Planned,,0.1,0.1,Biofuels,Dedicated storage,Carbon TerraVault 1,North America
Carbon2Business LafargeHolcim Laegerdorf (Westkuste100/Hyscale100),207,Germany,"Holcim Group, Hyscale100 consortium",CCU,2020,,2027,,Planned,,1,1,Cement,Use,,Europe
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,72,Austria,"Holcim Group, OMV, Verbund, Borealis",CCU,2020,,2030,,Planned,1,0.7,0.7,Cement,Use,,Europe
CarbonCapture DACU Carbon Cure at Gary Works (IN),73,United States,"CarbonCapture, CarbonCure, US Steel",CCU,2022,,,,Planned,,0.005,0.005,DAC,Use,,North America
CarbonFrontier (CA),896,United States,Aera Energy LLC ,Full Chain,2023,,,,Planned,,1.6,1.6,Other fuel transformation,Dedicated storage,,North America
CarbonNet,75,Australia,"Victorian Government/Australian Government, (DNV)",T&S,2010,2024,2030,,Planned,,6,6,T&S,Dedicated storage,CarbonNET,Australia and New Zealand
CarbonSAFE Eos (CO),792,United States,"Colorado School of Mines, Carbon America and Los Alamos National Laboratory",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,CarbonSAFE Eos (CO),North America
CarbonSAFE Illinois Storage Corridor (IL),962,United States,"University of Illinois, Illinois State Geological Survey, Carbon Solutions",Storage,2019,,2025,,Planned,,,2,Storage,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Cauldron cement plant,1065,United Kingdom,"Aggregate Industries UK, Petrofac (feasibility)",Capture,2024,,2030,,Planned,,,0.54,Cement,Dedicated storage,Peak cluster transport/Morecambe Net Zero Cluster,Europe
"CCS Baltic Consortium, Klapeida terminal",683,Latvia-Lithuania,Kalipedos Nafta AB,Transport,2022,2027,2031,,Planned,,4,4,Transport,Dedicated storage,"CCS Baltic Constium, Klapeida terminal",Europe
CCS Sakakemang,353,Indonesia,"Repsol, Petronas, MOECO",Full chain,2021,2024,2028,,Planned,,0.5,0.5,Natural gas processing/LNG,Dedicated storage,,Other Asia Pacific
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,77,United States,Targa Resources Group,Full chain,2022,2022,2024,,Under construction,1,0.36,0.36,Natural gas processing/LNG,EOR,,North America
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,78,United States,Targa Resources Group,Full chain,2022,,2024,,Planned,2,0.26,0.26,Natural gas processing/LNG,EOR,,North America
"CCUS hub at Strathcona Resources Cold Lake Lindbergh, Orion, and Tucker SAGD facilities (x 3 projects) (ALB)",606,Canada,Strathcona Resources Ltd.,Capture,2022,,,,Planned,,,,Other fuel transformation,Dedicated storage,,North America
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 1,813,People's Republic of China,"CEIC, CNPC",Full chain,2023,2023,2024,,Under construction,1,0.4,0.4,Other fuel transformation,EOR,,Other Asia Pacific
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 2,924,People's Republic of China,"CEIC, CNPC",Full chain,2023,2023,2025,,Under construction,2,0.5,0.5,Chemicals,EOR,,Other Asia Pacific
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 3,925,People's Republic of China,"CEIC, CNPC",Full chain,2023,2026,2027,,Planned,3,1.5,1.5,Chemicals,EOR,,Other Asia Pacific
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 3 (dedicated storage) ,926,People's Republic of China,"CEIC, CNPC",Full chain,2023,2026,2027,,Planned,3,0.5,0.5,Chemicals,Dedicated storage,,Other Asia Pacific
Celsio CCS project terminal,1088,Norway,"Hafslund Oslo Celsio (formerly Fortum Oslo Varme), Aker solutions (FEED)",Transport,2016,,2025,,Planned,,0.4,0.4,Transport,Dedicated storage,Northern Lights,Europe
Cementa Slite plant,79,Sweden,"Heidelberg Materials, Cementa",Capture,2021,2026,2029,,Planned,,1.8,1.8,Cement,Dedicated storage,,Europe
CEMEX Balcones Cement plant (TX),553,United States,"Research Triangle Institute (RTI) International, Cemex",Capture,2020,,,,Planned,,0.5,0.5,Cement,Unknown/unspecified,,North America
Central Alberta Hub (ALB),500,Canada," Wolf Midstream, Whitecap Resources Inc., the First Nation Capital Investment Partnership (FNCIP), and Heart Lake First Nation",Storage,2022,,2027,,Planned,,,,Storage,Dedicated storage,Alberta Carbon TrunkLine (ACTL)/Central Alberta Hub (ALB),North America
Central Interior Geological CCS Assessment (BC),1064,Canada,"Geoscience BC, Enbridge, BC government, CHFCA, City of Prince George, First nations Climate initiative, Foresight canada",Storage,2024,,,,Planned,,,,Storage,Dedicated storage,,North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 1,708,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,2023,2024,,Under construction,1,2,2,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 2,1059,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,,2027,,Planned,2,3,3,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 3,1060,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,,2029,,Planned,3,7 - 2,2,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Central Sumatera Basin CCUS hub,761,Indonesia,"Pertamina, Mitsui ",Storage,2022,,2030,,Planned,,,,Storage,Dedicated storage,Central Sumatera Basin CCUS hub,Other Asia Pacific
Centrica Equinor hydrogen hub Easington collaboration,486,United Kingdom,"Centrica, Equinor",Full chain,2022,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,Europe
Century plant (TX),80,United States,"Mitchell group (formely owned by Occidental), Sandridge Energy",Full chain,2008,2008,2010,,Operational,,4.32 - 5,4.32,Natural gas processing/LNG,EOR,,North America
Cerilon gas-to-liquids complex (ND),81,United States,Cerilon GTL,Full chain,2021,,,,Planned,1,2,2,Other fuel transformation,Dedicated storage,,North America
CF Fertilisers Billingham Ammonia CCS,637,United Kingdom,Encyclis (former Covanta Europe),Capture,2022,,,,Planned,,0.38,0.38,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
CF Industries and Mitsui Blue ammonia complex (LA),82,United States,"CF Industries, Mitsui",Full chain,2022,2024,2027,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
CF Industries blue ammonia Donaldsonville (LA),458,United States,"CF Industries, ExxonMobil (storage), EnLink Midstream (transport)",Capture,2020,2021,2025,,Under construction,,2,2,Hydrogen or ammonia,Dedicated storage,ExxonMobil Ascension Parish storage (TX),North America
CF Industries blue ammonia Yazoo (LA),459,United States,CF Industries,Capture,2020,,,,Planned,,0.5,0.5,Hydrogen or ammonia,Dedicated storage,,North America
Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),83,People's Republic of China,"PetroChina, CNPC",Full chain,2006,2015,2018,,Operational,,0.43 - 0.6,0.6,Natural gas processing/LNG,EOR,,Other Asia Pacific
Chevron Mitsui CO2 shipping SGP-AUS,586,Singapore,"Chevron, Mitsui",Transport,2022,,,,Planned,,2.5,2.5,Transport,Dedicated storage,Chevron Mitsui CO2 shipping SGP-AUS,Other Asia Pacific
China Energy Guohua Jinjie Power (Shaanxi),86,People's Republic of China,China Energy,Full chain,2018,2019,2021,,Operational,,0.15,0.15,Power and heat,Mixed,,Other Asia Pacific
China Energy Taizhou power (Jiangsu),85,People's Republic of China,China Energy,Full chain,2021,2021,2023,,Operational,,0.5,0.5,Power and heat,Mixed,,Other Asia Pacific
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,87,Sweden,"Nordion Energi, Göteborg Energi, Renova, Gothenburg Port Authority, Preem, and St1.",Transport,2020,,,,Planned,,1.5,1.5,Transport,Dedicated storage,CinfraCap,Europe
City of Estevan Power Plant,1118,Canada,8 Rivers Capital and Net Power,Capture,2021,,,,Planned,,,,Power and heat,Unknown/unspecified,,North America
Cliff Head CCS Project,1103,Australia,"Pilot Energy
",T&S,2021,,2026,,Planned,,1,1,T&S,Dedicated storage,Cliff Head CCS Project,Australia and New Zealand
Climeworks DAC at Brawley Geothermal (CA),90,United States,"University of Illinios, Climeworks",Full chain,2022,,,,Planned,,0.005,0.005,DAC,Dedicated storage,,North America
Climeworks Mammoth Project,441,Iceland,"Climeworks, Carbfix",Full chain,2022,2022,2024,,Under construction,,0.03 - 0.04,0.036,DAC,Dedicated storage,,Europe
Climeworks Norsk e fuel phase 1,91,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,2024,2025,,Planned,1,0.039,0.039,DAC,Use,,Europe
Climeworks Norsk e fuel phase 2,92,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,,2026,,Planned,2,0.035,0.035,DAC,Use,,Europe
Climeworks Norsk e fuel phase 3,93,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020,,2029,,Planned,3,0.184,0.184,DAC,Use,,Europe
Climeworks Orca,434,Iceland,"Climeworks, CarbFix",Full chain,2018,2020,2021,,Operational,,0.004,0.004,DAC,Dedicated storage,,Europe
CNOOC Enping offshore CCS (Hong Kong),95,People's Republic of China,CNOOC,Full chain,2021,2021,2023,,Operational,,0.3,0.3,Other fuel transformation,Dedicated storage,,Other Asia Pacific
CNPC China Northwest hub phase 1 (Xinjiang),96,People's Republic of China,"CNPC, OGCI",T&S,2019,2024,2025,,Planned,1,1,1,T&S,EOR,CNPC China Northwest hub (Xinjiang),Other Asia Pacific
CNPC China Northwest hub phase 2 (Xinjiang),97,People's Republic of China,"CNPC, OGCI",T&S,2019,,2030,,Planned,2,2,2,T&S,EOR,CNPC China Northwest hub (Xinjiang),Other Asia Pacific
CNPC China Northwest hub refinery hydrogen (Xinjiang) ,99,People's Republic of China,"CNPC, OGCI",Capture,2019,2024,2025,,Planned,,1,1,Other fuel transformation,EOR,CNPC China Northwest hub (Xinjiang),Other Asia Pacific
CO2 capture at Coal Creek (ND),100,United States,"EERC, NDIC, Rainbow Energy, Mitshubishi HI, Kiewit",Capture,2021,2025,,,Planned,,,,Power and heat,Dedicated storage,Coal creek capture: site characterisation and permitting (ND),North America
CO2 capture at Duke Energy's East Bend Station (KY),700,United States,"EPRI, MTR",Capture,2018,,,,Planned,,,,Power and heat,EOR,,North America
CO2 TO METHANOL Finnfjord Ferrosilicon,101,Norway,"Statkraft, Carbon Recycling International",CCU,2017,2024,,,Planned,,0.3,0.3,Iron and steel,Use,,Europe
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",664,Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022,,,,Planned,1,5,5,Transport,Dedicated storage,CO2TransPorts,Europe
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",665,Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022,,,,Planned,1,,,Transport,Dedicated storage,CO2TransPorts,Europe
CO2MENT LafargeHolcim Florence (CO),253,United States,"Electricore, Svante, Holcim Group, Oxy Low Carbon Venture (Occidental), TotalEnergies",Full chain,2020,,2025,,Planned,,0.7 - 1.5,1.5,Cement,Dedicated storage,,North America
CO2NEXT terminal phase 1,950,Germany,"Vopak, Gasunie",Transport,,,,,Planned,,5.4,5.4,Transport,Dedicated storage,Aramis CCS,Europe
CO2NEXT terminal phase 2,951,Germany,"Vopak, Gasunie",Transport,,,,,Planned,2,10.3,10.3,Transport,Dedicated storage,Aramis CCS,Europe
"CO2NNECTION Central Appalachian Basin hub (OH, PA, WV)",1009,United States,Battelle,Transport,2023,,,,Planned,,,,Transport,Unknown/unspecified,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,527,Germany,Wintershall Dea,Transport,2022,,2028,,Planned,,10,10,Transport,Dedicated storage,CO2nnectNow HES Wilhelmshaven Tank Terminal,Europe
CO2NTESSA,1138,Croatia,"Nexe Group,  ThyssenKrupp Group, and Nasice cement",Capture,2023,,2029,,Planned,,0.7,0.7,Cement,Dedicated storage,Geothermal CCS Croatia,Europe
Coal creek capture: site characterisation and permitting (ND),963,United States,University of North Dakota,Storage,2021,2025,,,Planned,,,,Storage,Dedicated storage,Coal creek capture: site characterisation and permitting (ND),North America
Coastal Bend Carbon Management Project (TX),711,United States,"Port of Corpus Christi, Talos Energy, Howard Energy Partners, Texas A&M University System",Storage,2022,,,,Planned,,1 - 1.5,1.5,Storage,Dedicated storage,Coastal Bend Carbon Management Partnership (TX),North America
Coastal Bend Offshore CO2 Storage (TX),712,United States,"Port of Corpus Christi, 1845 Carbon Storage LLC, Strategic Sequestration Development LLC, University of Texas Bureau of Economic Geology’s Gulf Coast Carbon Center",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Corpus Christi offshore storage (TX),North America
CO-Creator Pilot Startup program DACCS,939,Iceland,"COWI, Removr",Capture,2023,,,,Planned,,0.1,0.1,DAC,Dedicated storage,,Europe
Coda terminal Phase 1,102,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,2024,2026,,Planned,1,0.5,0.5,T&S,Dedicated storage,Coda terminal,Europe
Coda terminal Phase 2,103,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,,2028,,Planned,2,0.5,0.5,T&S,Dedicated storage,Coda terminal,Europe
Coda terminal phase 3,104,Iceland,"Carbfix, Dan-unity CO2",T&S,2021,,2031,,Planned,3,2,2,T&S,Dedicated storage,Coda terminal,Europe
Coffeyville fertiliser Plant (KS),105,United States,"Coffeyville Resources, Chaparral Energy, Coffeyville Resource Nitrogen Fertilizers",Full chain,2011,2011,2013,,Operational,,0.7 - 0.9,0.9,Chemicals,EOR,,North America
Colleferro plant,732,Italy,Heidelberg Materials,Capture,2018,,,,Planned,,,,Cement,Unknown/unspecified,,Europe
Combined Carbon Capture Solution on Air Liquide Northern California Steam Methane Reformer (CA),749,United States,"Electricore Inc., Air Liquide",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Commonwealth LNG CCS (LA),956,United States,"Commonwealth LNG, OnStream CO2 LLC (JV between Carbonvert Inc, Castex Carbon Solutions LLC) (own, design, operate capture)",Capture,2023,2024,2027,,Planned,,,,Natural gas processing/LNG,Dedicated storage,Cameron Parish CO2 Hub (LA),North America
Competitive Power Ventures CCGT (WV),518,United States,Competitive Power Ventures,Capture,2021,,,,Planned,,,,Power and heat,Unknown/unspecified,,North America
Connah's Quay,1110,United Kingdom,Uniper,Capture,2021,,2030,,Planned,,,,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Co-op Belle Plaine Ethanol Complex (SK),573,Canada,"Federated Co-operatives (FCL), Whitecap Resources Inc. (MoU with FCL to capture, transport and store)",Capture,2021,,2024,,Planned,,,,Biofuels,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
Co-op Renewable Diesel Complex (SK),572,Canada,"Federated Co-operatives (FCL), Fluor and Whitecap Resources Inc.",Capture,2021,2024,2027,,Planned,,,,Biofuels,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
Core Energy CO2-EOR South Chester plant (MI),106,United States,Core Energy,Full chain,,,2003,,Operational,,0.35,0.35,Natural gas processing/LNG,EOR,,North America
Cormorant Clean Energy project (TX),1020,United States,"8 Rivers, Casale",Capture,2024,2025,2027,,Planned,,1.4,1.4,Hydrogen or ammonia,Dedicated storage,,North America
Corn LP Goldfield biorefinery (IA),107,United States,"Corn LP, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.18 - 0.22,0.215,Biofuels,Dedicated storage,Midwest carbon express,North America
Corporation Energy Blue Ammonia/hydrogen Baidaratskaya Bay,108,Russia,"Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others",Full chain,2021,,2025,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Eurasia
Corporation Energy Blue Ammonia/hydrogen Seyakha,109,Russia,"Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others",Full chain,2021,,2026,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Eurasia
Corpus Christi carbon storage hub (TX),863,United States,"Repsol (operator), Carbonvert, MEPUSA (Mitsui E&P USA), POSCO",Storage,2023,,,,Planned,,20,20,Storage,Dedicated storage,Corpus Christi carbon storage hub (TX),North America
Corpus Christi CO2 pipeline (TX),863,United States,"Enbridge (transport), Oxy low carbon ventures (Occidental) (Storage)",Transport,2022,,2028,,Planned,,,,Transport,Unknown/unspecified,Corpus Christi CO2 pipeline,North America
Corvus (WY),886,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2026,,Planned,,2 - 5,5,Storage,Unknown/unspecified,Denbury Rock Mountains Hub (WY),North America
CORY EfW plant Belvedere,110,United Kingdom,Cory,Full chain,2021,,2030,,Planned,,1.3 - 1.5,1.3,Power and heat,Dedicated storage,Viking CCS,Europe
Coyote Clean Power Project (CO),111,United States,"8Rivers, Southern Ute Indian Reservation",Full chain,2021,2024,2025,,Planned,,0.865,0.865,Power and heat,Unknown/unspecified,,North America
CPNC coal power Baijiantan Karamay (Xinjiang),931,People's Republic of China,CNPC,Full chain,2023,2023,2027,,Under construction,,2,2,Power and heat,EOR,CNPC China Northwest hub (Xinjiang),Other Asia Pacific
Crawford Nickel,1119,Canada,Canada Nickel Company Inc.,CCU,2023,2025,,,Planned,,1.5,1.5,Other industry,Use,,North America
CRP Haifeng Project (Guangdong),112,People's Republic of China,China Resources Power,Capture,2013,,2030,,Planned,1,1,1,Power and heat,Unknown/unspecified,,Other Asia Pacific
Cstore 1,520,Australia,"deepC-store (dev and operator), Mitsui (for shipping), Technip Energies (TEN) (pre-FEED for hub facility)",T&S,2021,,,,Planned,,1.5 - 7.5,7.5,T&S,Dedicated storage,Cstore 1,Australia and New Zealand
CTSCo Project,114,Australia,"Glencore Carbon Transport and Storage Company (CTSCo), China Huaneng (capture tech, MoU)",Full chain,2010,2022,2026,,Under construction,,0.11,0.11,Power and heat,Dedicated storage,,Australia and New Zealand
Cygnus (WY),887,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2027,,Planned,,2 - 5,5,Storage,Unknown/unspecified,Denbury Rock Mountains Hub (WY),North America
Cypress Carbon Capture Project (LA),1128,United States,"Taft Carbon Capture, DOE Office of Clean Energy Demonstrations",Capture,2023,,,,Planned,,2.6,2.6,Power and heat,Dedicated storage,,North America
Cypress DAC Hub (LA),747,United States,"Battelle, Climeworks, Heirloom Carbon, Gulf Coast Sequestration (T&S provider)",Capture,2023,,2030,,Planned,,1,1,DAC,Dedicated storage,Gulf Coast Sequestration Hub (LA),North America
Dakota Ethanol Wentworth biorefinery (SD),117,United States,"Dakota Ethanol, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.22 - 0.26,0.257,Biofuels,Dedicated storage,Midwest carbon express,North America
Dakota H2 Hub (ND),118,United States,"Bakken Energy, Mitsubishi HI (as Mitsubishi Power Americas), Mandan, Hidatsa, and Arikara Nation",Full chain,2021,,2027,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,North America
Dalstur Energy Coal India coal hydrogen,120,India,"Dalstur Energy (Kolkata), Coal India (CIL)",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
Damhead Creek CCGT power station,569,United Kingdom,Oilex,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,Medway Hub CCS,Europe
D'Artagnan Dunkirk CO2 Hub Phase 1,121,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2027,,Planned,1,3,3,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe
D'Artagnan Dunkirk CO2 Hub Phase 2,122,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2031,,Planned,2,1.4,1.4,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe
D'Artagnan Dunkirk CO2 Hub Phase 3,123,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021,,2035,,Planned,3,5.6,5.6,Transport,Dedicated storage,D'Artagnan/Nautilus,Europe
Daya Bay CCS Hub (Guangdong),442,People's Republic of China,"Shell, ExxonMobil, CNOOC, and Guangdong Provincial Development & Reform Commission (JSA)",T&S,2022,,,,Planned,,10,10,T&S,Dedicated storage,Daya Bay CCS Hub,Other Asia Pacific
Delaware Basin project (TX),996,United States,Milestone carbon (Milestone Envrionmental services),Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Delaware Basin project (TX),North America
Delta Rhyne Corridor ,126,Netherlands-Germany,"Shell, Port of Rotterdam, bp, RWE, thyssenkrupp, LyondellBasell, Heidelberg Materials, Attero and Chemelot",Transport,2021,2024,2027,,Planned,,22,22,Transport,Dedicated storage,,Europe
Denbury / Mitsubishi Gulf Coast ammonia project (TBD),127,United States,"Mitsubishi, ExxonMobil (formerly Denbury carbon solutions)",T&S,2021,,,,Planned,,1.8,1.8,T&S,Dedicated storage,,North America
Diamond Vault (LA),879,United States,"Cleco Power LLC, Battelle, Sargebt abd Kybdy ",Storage,2023,,,,Planned,,3.5,3.5,Storage,Dedicated storage,,North America
Donghae CCS Project (capture sources under evaluation),373,South Korea, Korea National Oil Corporation and partners,T&S,2022,2024,2025,,Planned,,1.2,1.2,T&S,Dedicated storage,,Other Asia Pacific
Dorado (TX),884,United States,ExxonMobil (former Denbury Carbon Solutions),Storage,2022,,2026,,Planned,,5 - 10,5,Storage,Dedicated storage,Dorado (TX),North America
Dos Bocas refinery,453,Mexico,Pemex,Capture,,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,North America
Dow Fort Saskatchewan Path2Zero (ALB),129,Canada,"Dow Chemical, Linde, Fluor, Wolf Midstream",Capture,2021,2023,2029,,Under construction,,,,Chemicals,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL),North America
Draco (LA),880,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2026,,Planned,,5 - 10,5,Storage,Unknown/unspecified,,North America
Drax BECCS Project (Phase 1),130,United Kingdom,"Drax, Worley (FEED), Mitsubishi HI (tech)",Capture,2019,2024,2027,,Planned,1,4.3,4.3,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Drax BECCS Project (Phase 2),131,United Kingdom,"Drax, Worley (FEED), Mitsubishi HI (tech)",Capture,2019,2024,2030,,Planned,2,3.7,3.7,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Drax US BECCS plant 1,770,United States,Drax,Capture,2023,2026,2030,,Planned,,3,3,Power and heat,Dedicated storage,,North America
Drax US BECCS plant 2,771,United States,Drax,Capture,2023,2026,2030,,Planned,,3,3,Power and heat,Dedicated storage,,North America
Dry Fork Integrated Commercial CCS/Wyoming CarbonSafe (WY),132,United States,"MTR Carbon Capture, Basin Electric Power Cooperative, Electric Power Research Institute, University of Wyoming, Bismarck",Full chain,2016,,2025,,Planned,1,3,3,Power and heat,Dedicated storage,Wyoming CarbonSAFE (WY),North America
Duke Energy Edwardsport Integrated Gasification Combined Cycle plant (IN),1127,United States,"Duke Energy, DOE Office of Clean Energy Demonstrations",Capture,2023,,,,Planned,,3.6,3.6,Power and heat,Dedicated storage,,North America
e-Alto,752,United Kingdom,"Velocys, Clariant Catalysts, Technip Energies, British Airways",CCU,2022,,,,Planned,,,,Biofuels,Use,,Europe
East Calgary Region Carbon Sequestration Hub (ALB),501,Canada," Reconciliation Energy Transition Inc. (RETI), Sumitomo",Storage,2022,,,,Planned,,5 - 10,10,Storage,Dedicated storage,East Calgary Region Carbon Sequestration Hub (ALB),North America
East Kalimantan CCUS hub,947,Indonesia,"Kaltim Parna Industry, ITB",Storage,2022,,2030,,Planned,,1,1,Storage,Dedicated storage,East Kalimantan CCUS hub,Other Asia Pacific
East Niigata area CCS - Hokuetsu pulp plant,1134,Japan,Hokuetsu,Capture,2023,,2030,,Planned,,,,Other industry,Dedicated storage,East Niigata area CCS,Other Asia Pacific
East Niigata area CCS - Mitsubshi gas chemical,1133,Japan,Mitsubishi Gas Chemical,Capture,2023,,2030,,Planned,,,,Chemicals,Dedicated storage,East Niigata area CCS,Other Asia Pacific
East Niigata area CCS - Tohoku Electric Power,1132,Japan,Tohoku Electric Power,Capture,2023,,2030,,Planned,,,,Power and heat,Dedicated storage,East Niigata area CCS,Other Asia Pacific
East Niigata area CCS (capture sources under evaluation),289,Japan,"JAPEX, Tohoku Electric Power, Mitsubishi Gas Chemical, Hokuetsu, NRI",T&S,2023,,2030,,Planned,,1.5,1.5,T&S,Dedicated storage,East Niigata area CCS,Other Asia Pacific
Eastern Louisiana Clean Hydrogen Complex (LA) ,38,United States,Air Products,Full chain,2021,2023,2026,,Under construction,,5,5,Hydrogen or ammonia,Dedicated storage,,North America
Eastern Wyoming Sequestration Hub (WY),133,United States,Tallgrass energy,Storage,2022,,2024,,Planned,,1.5,1.5,Storage,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),North America
ECO2CEE (Poland EU CCS Interconnector) phase 1,319,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2027,,Planned,1,2.5 - 3,2.5,Transport,Dedicated storage,ECO2CEE (Gdansk terminal),Europe
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,320,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2031,,Planned,2,6.5,6.5,Transport,Dedicated storage,ECO2CEE,Europe
ECO2CEE (previously Poland EU CCS Interconnector) phase 3,648,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2033,,Planned,3,0.3,0.3,Transport,Dedicated storage,ECO2CEE,Europe
ECO2Normandy phase 1,649,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,,2028,,Planned,1,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe
ECO2Normandy phase 2,650,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,,2031,,Planned,2,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe
ECO2Normandy phase 3,651,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,,2036,,Planned,3,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe
ECO2S: Early CO2 Storage Complex in Kemper County (MS),334,United States,"Southern States Energy Board, Mississipi Power (Southern Company)",T&S,2017,,,,Planned,,3,3,T&S,Dedicated storage,Project ECO2S: Early CO2 Storage Complex in Kemper County (MS),North America
